retraction_watch,ifdb
The American Journal of Gastroenterology,AMERICAN JOURNAL OF GASTROENTEROLOGY
Angewandte Chemie,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION
JAMA: Journal of the American Medical Association,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION; jama
The Journal of Biological Chemistry,JOURNAL OF BIOLOGICAL CHEMISTRY
The Journal of Clinical Investigation (JCI),JOURNAL OF CLINICAL INVESTIGATION
Journal of Clinical Oncology : Official Journal of the American Society of Clinical Oncology,JOURNAL OF CLINICAL ONCOLOGY
Journal of the American Chemical Society,Journal of the American Chemical Society; jacs
Molecular Cancer Research (MCR),MOLECULAR CANCER RESEARCH
NEJM: The New England Journal of Medicine,NEW ENGLAND JOURNAL OF MEDICINE; nejm
Physical Review Letters,PHYSICAL REVIEW LETTERS; prl
PNAS: Proceedings of the National Academy of Sciences of the United States of America,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA; pnas
Tissue Engineering. Part A,Tissue Engineering Part A
