Journal,2025IF,2024IF,2023IF,2022IF,2021IF,2020IF,2019IF,2018IF,2017IF,2016IF,2015IF,2014IF,2013IF,2012IF,2011IF,2010IF,2009IF,2008IF,2007IF,2006IF,2005IF,2004IF,2003IF,2002IF,2001IF,2000IF,1999IF,1998IF,1997IF
ADVANCED MATERIALS,29.1,26.8,27.4,29.4,32.086,30.849,27.398,25.809,21.95,19.791,18.96,17.493,15.409,14.829,13.877,10.88,8.379,8.191,8.191,7.896,9.107,8.079,7.305,6.801,5.579,5.522,5.415,4.96,2.974
AMERICAN JOURNAL OF GASTROENTEROLOGY,8.5,8.1,8.5,10.2,12.045,10.864,10.171,10.241,10.231,9.566,10.383,10.755,9.213,7.553,7.282,6.882,6.012,6.444,6.101,5.608,5.116,4.716,4.172,3.953,3.549,2.834,2.945,2.611,2.344
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,17.6,17,16.1,16.6,16.823,15.336,12.959,12.257,12.102,11.994,11.709,11.261,11.336,13.734,13.455,12.73,11.829,10.879,10.031,10.232,9.596,9.161,8.427,7.671,8.255,8.547,7.996,8.029,8.56
APPLIED PHYSICS LETTERS,3.8,3.6,3.5,4,3.971,3.791,3.597,3.521,3.495,3.411,3.142,3.302,3.515,3.794,3.844,3.841,3.554,3.726,3.596,3.977,4.127,4.308,4.049,4.207,3.849,3.906,4.184,3.349,3.033
BIOCHEMICAL JOURNAL,3.9,4.3,4.4,4.1,3.766,3.857,4.097,4.331,3.857,3.797,3.562,4.396,4.779,4.654,4.897,5.016,5.155,4.371,4.009,4.1,4.224,4.278,4.101,4.589,4.326,4.28,4.349,3.855,3.579
BIOCHEMISTRY,2.7,3,2.9,2.9,3.321,3.163,2.865,2.952,2.997,2.938,2.876,3.015,3.194,3.377,3.422,3.226,3.226,3.379,3.368,3.633,3.848,4.008,3.922,4.064,4.114,4.221,4.493,4.628,4.572
BLOOD,23.9,23.1,21.1,20.3,25.669,23.629,17.794,16.601,15.132,13.164,11.847,10.452,9.775,9.06,9.898,10.558,10.555,10.432,10.896,10.37,10.131,9.782,10.12,9.631,9.273,8.977,8.782,8.372,9.507
BRITISH MEDICAL JOURNAL,,,,,,,,,,,,,,17.215,14.093,13.471,13.66,12.827,9.723,9.245,9.052,7.038,7.209,7.585,6.629,5.331,5.143,5.325,4.994
CANCER,5.6,5.1,6.1,6.2,6.921,6.86,5.772,6.102,6.537,6.072,5.649,5.068,4.901,5.201,4.771,5.131,5.418,5.238,4.632,4.582,4.8,4.434,4.017,3.941,3.909,3.611,3.632,3.66,3.296
CANCER CELL,56.1,44.5,48.8,50.3,38.585,31.743,26.602,23.916,22.844,27.407,23.214,23.523,23.893,24.755,26.566,26.925,25.288,24.962,23.858,24.077,18.725,18.122,18.913,,,,,,
CANCER RESEARCH,22.6,16.6,12.5,11.2,13.312,12.701,9.727,8.378,9.13,9.122,8.556,9.329,9.284,8.65,7.856,8.234,7.543,7.514,7.672,7.656,7.616,7.69,8.649,8.318,8.302,8.46,8.614,8.37,8.426
CELL,45.1,42.5,45.6,64.5,66.85,41.584,38.637,36.216,31.398,30.41,28.71,32.242,33.116,31.957,32.403,32.406,31.152,31.253,29.887,29.194,29.431,28.389,26.626,27.254,29.219,32.44,36.242,38.686,37.297
CHEMICAL COMMUNICATIONS,4.3,4.2,4.3,4.9,6.065,6.222,5.996,6.164,6.29,6.319,6.567,6.834,6.718,6.378,6.169,5.787,5.504,5.34,5.141,4.521,4.426,3.997,4.031,4.038,3.902,3.695,3.477,3.407,3.2
CHEMICAL REVIEWS,64.2,55.8,51.5,62.1,72.087,60.622,52.76,54.301,52.613,47.928,37.369,46.568,45.661,41.298,40.197,33.036,35.957,23.592,22.757,26.054,20.869,20.233,21.036,20.993,21.044,20.036,21.244,20.228,18.286
CHEMICAL SOCIETY REVIEWS,48.3,39.3,40.4,46.2,60.615,54.564,42.846,40.443,40.182,38.618,34.09,33.383,30.425,24.892,28.76,26.585,20.086,17.419,13.082,13.69,13.747,10.836,9.569,8.718,9.137,10.747,8.798,5.936,6.67
CIRCULATION,41.3,38.7,35.6,37.8,39.922,29.69,23.603,23.054,18.881,19.309,17.202,15.073,14.948,15.202,14.739,14.432,14.816,14.595,12.755,10.94,11.632,12.563,11.164,10.255,10.517,10.893,9.903,9.173,9.762
Computational Intelligence and Neuroscience,,,,,3.12,3.633,2.284,2.154,1.649,1.215,0.43,0.596,,,,,,,,,,,,,,,,,
Immunity,30.6,26.3,25.5,32.4,43.474,31.745,22.553,21.522,19.734,22.845,24.082,21.561,19.748,19.795,21.637,24.221,20.589,20.579,19.266,18.306,15.156,15.448,16.016,17.468,18.866,21.083,20.563,20.518,20.82
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,65.4,55,63.5,120.7,157.375,56.274,45.54,51.273,47.661,44.405,37.684,35.289,30.387,29.978,30.026,30.011,28.899,31.718,25.547,23.175,23.494,24.831,21.455,16.586,17.569,15.402,11.435,9.522,9.258
JOURNAL OF APPLIED PHYSICS,2.7,2.5,2.7,3.2,2.877,2.546,2.286,2.328,2.176,2.068,2.101,2.183,2.185,2.21,2.168,2.079,2.072,2.201,2.171,2.316,2.498,2.255,2.171,2.281,2.128,2.18,2.275,1.729,1.63
JOURNAL OF BIOLOGICAL CHEMISTRY,4.1,3.9,4,4.8,5.485,5.157,4.238,4.106,4.011,4.125,4.258,4.573,4.6,4.651,4.773,5.328,5.328,5.52,5.581,5.808,5.854,6.355,6.482,6.696,7.258,7.368,7.666,7.199,6.963
JOURNAL OF CLINICAL INVESTIGATION,14.3,13.6,13.3,15.9,19.477,14.808,11.864,12.282,13.251,12.784,12.575,13.262,13.765,12.812,13.069,14.152,15.387,16.559,16.915,15.754,15.053,14.204,14.307,14.051,14.118,12.015,10.921,9.315,9.667
JOURNAL OF CLINICAL ONCOLOGY,44.7,43.4,42.1,45.4,50.739,44.544,32.956,28.349,26.36,24.008,20.982,18.443,17.96,18.038,18.372,18.97,17.793,17.157,15.484,13.598,11.81,9.835,10.864,9.868,8.53,8.773,7.963,8.228,7.878
Journal of the American Chemical Society,16.6,15.7,14.5,15,16.383,15.419,14.612,14.695,14.357,13.858,13.038,12.113,11.444,10.677,9.907,9.023,8.58,8.091,7.885,7.696,7.419,6.903,6.516,6.201,6.079,6.025,5.537,5.725,5.65
